"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","613","","","","0"
"2002","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","623","","","","0"
"2003","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","632","","","","0"
"2004","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","639","","","","0"
"2005","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","646","","","","0"
"2006","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","641","","","","0"
"2007","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","668","","","","0"
"2008","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","651","","","","0"
"2009","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","666","","","","0"
"2010","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","699","","","","0"
"2011","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","691","","","","0"
"2012","Chatham-Kent, Ontario","2011S0504556","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824829","72.4.3","710","","","","0"
